Rank,Attraction
1,Santa Maria del Naranco
2,Monte Naranco
3,Plaza del Fontan
4,Museo de Bellas Artes de Asturias
5,Estatua de Mafalda Homenaje a Quino
6,Campo de San Francisco
7,Esculturas Oviedo
8,Catedral de San Salvador de Oviedo
9,Zoologico El Bosque
10,Río Nalon
11,San Miguel de Lillo
12,San Julian de los Prados
13,Senda Verde Oviedo Fuso de la Reina
14,Calle Uria
15,Libreria Cervantes
16,Teatro Campoamor
17,Casco Antiguo
18,Plaza Trascorrales
19,Archaeological Museum of Asturias
20,Iglesia de San Juan el Real
21,Monasterio de San Pelayo
22,Fuente de Foncalada
23,Palacio de Exposiciones y Congresos
24,Plaza  Porlier
25,Route of Santiago de Compostela
26,Parque de Invierno
27,Parroquia de San Isidoro El Real
28,Ayuntamiento de Oviedo
29,Estadio Carlos Tartiere
30,Bandujo
