Rank,Attraction
1,Channel Islands Harbor
2,Oxnard State Beach and Park
3,Mullin Automotive Museum
4,Mandalay State Beach
5,Herzog Wine Cellars
6,Channel Islands Maritime Museum
7,Silver Strand Beach
8,The Collection at Riverpark
9,Heritage Square
10,The Murphy Auto Museum
11,Magnavino Cellars
12,Strey Cellars
13,Marine Emporium Landing
14,The Woolworth Building
15,Carnegie Art Museum
16,American Tall Ship Institute
17,Peninsula Park
18,Sail Channel Islands
19,Wild Blue Adventures
20,Channel Islands Parasail
21,Channel Islands Whale Watching
22,Gondola Paradiso
23,Channel Islands Charter - Tours
24,Plaza Cinemas 14
25,Channel Islands Sportfishing
26,Southern California Jet Skis
27,Rancho Ventavo Cellars
28,River Ridge Golf Club
29,Classic Yacht Adventures
30,Hook's Landing
