Rank,Attraction
1,Palazzo Conte Federico
2,Norman Palace
3,Cattedrale di Palermo
4,Teatro Massimo
5,Santa Maria dell'Ammiraglio (La Martorana)
6,Lido Finanza
7,Santuario Santa Rosalia
8,Palazzo Steri - Chiaramonte - Carcere dei penitenziati
9,Spiaggia di Mondello
10,Church and Monastery of Santa Caterina d'Alessandria
11,Antico Stabilimento Balneare di Mondello
12,Chiesa del Gesu
13,Monte Pellegrino
14,Faro di Capo Gallo
15,Quattro Canti
16,Fontana della Vergogna (Fontana Pretoria)
17,Ustica
18,Monumento strage di Capaci
19,Grotta dell'Olio
20,Palazzo Mirto
21,Museum of tiles Stanze al Genio
22,Piazza Pretoria
23,Chiesa Inferiore della Cappella Palatina
24,"Museo Archeologico Regionale ""Antonino Salinas"""
25,Palazzo Abatellis
26,Teatro Politeama Garibaldi
27,Oratorio di San Lorenzo
28,Mercato Ballaro
29,Palazzina Cinese
30,Piazza Mondello
