Rank,Attraction
1,Musée d'Orsay
2,Cathédrale Notre-Dame de Paris
3,Sainte-Chapelle
4,Palais Garnier
5,Eiffel Tower
6,Musee de l'Orangerie
7,Arc de Triomphe
8,Louvre Museum
9,Montmartre
10,Seine River
11,Luxembourg Gardens
12,Basilique du Sacre-Coeur de Montmartre
13,Musée Rodin
14,Le Marais
15,Panthéon
16,Musee Marmottan Monet
17,Saint Germain des Pres Quarter
18,Jardin des Tuileries
19,Musee de l’Armee des Invalides
20,Latin Quarter
21,Parc des Buttes-Chaumont
22,Atelier des Lumières
23,Pont Alexandre III
24,Galeries Lafayette Paris Haussmann
25,Observatoire Panoramique de la Tour Montparnasse
26,Musee du Parfum - Fragonard
27,Place des Vosges
28,Fondation Louis Vuitton
29,Père-Lachaise Cemetery
30,Musee des Arts Forains
