Rank,Attraction
1,Norton Simon Museum
2,Rose Parade
3,Old Pasadena
4,The Gamble House
5,Eaton Canyon
6,Rose Bowl Stadium
7,Jet Propulsion Laboratory
8,Kidspace Children's Museum
9,City of Pasadena City Hall
10,California Institute of Technology
11,Colorado Boulevard
12,Eaton Canyon Natural Area
13,Arlington Garden in Pasadena
14,Pasadena Convention Center
15,Stark Spirits Distillery
16,Pasadena Playhouse
17,Storrier Stearns Japanese Garden
18,Colorado Street Bridge
19,Pacific Asia Museum
20,Pasadena City College Flea Market
21,Pasadena Museum of History
22,St. Andrew Church
23,Wrigley Gardens
24,South Lake Avenue Shopping & Dining
25,South Pasadena Farmers' Market
26,A Noise Within Theatre
27,Pasadena Antique Mall
28,Pasadena Museum of California Art (PMCA)
29,Rose Bowl Flea Market
30,Henninger Flats Campground
