Rank,Attraction
1,Eastern State Penitentiary
2,Phipps Conservatory and Botanical Gardens
3,Lake Wallenpaupack
4,Hershey Gardens
5,Lancaster Central Market
6,Gettysburg National Military Park
7,The Amish Farm and House
8,Raystown Lake
9,Presque Isle State Park
10,Mount Washington
11,Fulton Theatre
12,The Hershey Story Museum
13,National Civil War Museum
14,Dutch Wonderland
15,American Music Theatre
16,Bucks County Playhouse
17,Coca-Cola Park
18,PNC Park
19,SteelStacks
20,Steamtown National Historic Site
21,Asa Packer Mansion
22,Hersheypark
23,Pine Creek Gorge
24,Allegheny National Forest
25,Duquesne Incline
26,Bowman's Hill Wildflower Preserve
27,PeoplesBank Park
28,Core Creek Park
29,"AACA Museum, Inc."
30,President James Buchanan's Wheatland
