Rank,Attraction
1,Phipps Conservatory and Botanical Gardens
2,Mount Washington
3,PNC Park
4,Duquesne Incline
5,Strip District
6,Bicycle Heaven
7,Carnegie Museum of Natural History
8,Heinz Field
9,The Andy Warhol Museum
10,Senator John Heinz History Center
11,Point State Park
12,Pittsburgh Zoo & PPG Aquarium
13,Cathedral of Learning
14,National Aviary
15,Carnegie Science Center
16,Randyland
17,Monongahela Incline
18,Carnegie Museum of Art
19,PPG Paints Arena
20,Market Square
21,Roberto Clemente Bridge (Sixth Street Bridge)
22,Children's Museum of Pittsburgh
23,Heinz Hall
24,USS Requin
25,Sri Venkateswara Temple
26,Frick Art and Historical Center
27,The Nationality Rooms
28,Schenley Park
29,Mr. Rogers' Memorial Statue
30,Frick Park
