Rank,Attraction
1,Plymouth Gin Distillery
2,Saltram (National Trust)
3,The Barbican
4,Theatre Royal Plymouth
5,Plymbridge Woods
6,Plymouth Sound
7,Burgh Island
8,Smeaton's Tower
9,Tinside Pool
10,Plymouth Synagogue
11,National Marine Aquarium
12,Royal William Yard
13,West Hoe Park
14,Saltram Gardens (National Trust)
15,Naval Memorial
16,Plym Valley Cycle Trail
17,Royal Citadel
18,Plymouth Gladiators Speedway
19,Devonport Park
20,Barbican Theatre
21,Devonport Naval Heritage Centre
22,South West Coast Path National Trail
23,Plymouth Argyle Home Park Football Stadium
24,Drake Circus Shopping Centre
25,Plympton Swimming Pool
26,St. Andrew's Church
27,Crownhill Fort
28,Mayflower Museum
29,Mount Wise Swimming Pools
30,Plymouth Snowsports Centre
