Rank,Attraction
1,International Rose Test Garden
2,Portland Japanese Garden
3,Washington Park
4,Pittock Mansion
5,Lan Su Chinese Garden
6,The Grotto - National Sanctuary of Our Sorrowful Mother
7,Willamette Valley
8,Forest Park
9,Crystal Springs Rhododendron Garden
10,Portland Art Museum
11,Hoyt Arboretum
12,St. Johns Bridge
13,Oregon Museum of Science and Industry
14,Portland Saturday Market
15,Oregon Zoo
16,Tilikum Crossing
17,Alberta Street
18,Mount Tabor Park
19,Portland Farmers Market
20,Pearl District
21,Portland Aerial Tram
22,Northwest (Nob Hill)
23,Metropolitan Area Express (MAX)
24,Oregon Historical Society
25,Multnomah Village
26,Sauvie Island Wildlife Area
27,Peninsula Park and Rose Gardens
28,Portland Children's Museum
29,Council Crest Park
30,Laurelhurst Park
