Rank,Attraction
1,The Mary Rose
2,HMS Victory
3,Portsmouth Historic Dockyard
4,Spinnaker Tower
5,Royal Armouries - Fort Nelson
6,HMS Warrior 1860
7,The D-Day Story
8,Gunwharf Quays
9,Peter Ashley Activity Centre
10,Old Portsmouth
11,Southsea Beach
12,Brittany Ferries
13,Staunton Farm
14,Wightlink Isle of Wight Ferries
15,National Museum of the Royal Navy
16,Portsmouth Museum
17,Port Solent
18,Southsea Castle
19,Portsdown Hill
20,Blue Reef Aquarium
21,HMS M.33
22,Canoe Lake
23,Southsea Rose Garden
24,Fratton Park
25,Clarence Pier
26,Southsea Model Village
27,The Kings Theatre
28,Portsmouth Cathedral
29,Millennium Promenade
30,Boathouse No 4
