Rank,Attraction
1,Old Quebec
2,Parc de la Chute-Montmorency
3,Terrasse Dufferin
4,Place Royale
5,Basilique Cathedrale - Notre-Dame-de-Quebec
6,Lower Town (Basse-Ville)
7,Quebec City Ferry
8,Plains of Abraham
9,La Citadelle de Québec
10,Musée de la civilisation
11,Upper Town (Haute-Ville)
12,Parliament Building (Hotel du Parlement)
13,Old Quebec Funicular
14,Morrin Centre
15,Musée national des beaux-arts du Québec (MNBAQ)
16,La Promenade des Gouverneurs
17,Gare du Palais
18,Old Port
19,Breakneck Steps (L'Escalier Casse-Cou)
20,Fortifications of Quebec National Historic Site
21,La Promenade Samuel-De Champlain
22,Terrasse Dufferin Slides
23,Observatoire de la Capitale
24,Aquarium du Quebec
25,Grande Allée
26,Three Crow Glass Studio
27,Eglise Notre Dame des Victoires
28,La Fresque des Quebecois
29,Parc de la Plage-Jacques-Cartier
30,Marche du Vieux-Port de Quebec
