Rank,Attraction
1,North Carolina Museum of Natural Sciences
2,North Carolina Museum of Art
3,Pullen Park
4,Marbles Kids Museum
5,North Carolina Museum of History
6,Umstead State Park
7,Historic Yates Mill County Park
8,JC Raulston Arboretum at NC State University
9,State Farmers Market
10,Neuse River Trail
11,PNC Arena
12,Frankie's Fun Park
13,Lake Johnson Park
14,North Carolina State University
15,Mordecai Historic Park
16,North Carolina State Capitol
17,Carter Finley Stadium
18,WRAL Azalea Garden
19,Crabtree Valley Mall
20,The Raleigh Market
21,Raleigh Little Theatre Rose Garden
22,Reynolds Coliseum
23,Shelley Lake Park
24,Historic Oakwood Cemetery
25,Lake Wheeler
26,Historic Oakwood
27,Walnut Creek Amphitheatre
28,North Hills
29,Duke Energy Center for the Performing Arts
30,Raleigh Convention Center
