Rank,Attraction
1,Cathedrale Notre-Dame de Reims
2,Veuve Clicquot-Ponsardin
3,Champagne Taittinger
4,Maison Ruinart
5,La Maison Mumm
6,Champagnes Pommery
7,Palais du Tau
8,Basilique Saint-Remi
9,Circuit de Reims-Gueux
10,Museum of the Surrender
11,Villa Demoiselle
12,Fort de la Pompelle
13,Rêve de couleurs Reims
14,Office de Tourisme de Reims
15,Champagne G.H. Martel & Co
16,Champagnes Lanson
17,Parc de Champagne
18,Musée Automobile Reims
19,Place Drouet-d'Erlon
20,Budding
21,Musée Historique Saint-Remi
22,Chapelle Foujita
23,Bibliotheque Carnegie
24,Abbey of Saint-Remi
25,Le Kabaret
26,Musee des Beaux-Arts
27,Planetarium
28,Fontaine Sube
29,Champagne Charles de Cazanove
30,Krug
