Rank,Attraction
1,Parc du Thabor
2,Marché des Lices
3,Centre Historique de Rennes
4,Parc des Gayeulles
5,Cathedrale Saint-Pierre
6,Parlement de Bretagne
7,Roazhon Park
8,Les Champs Libres
9,Musée des Beaux-Arts (Fine Arts Museum)
10,Ecomusee de la Bintinais
11,Palais Saint-Georges
12,Spadium
13,Place de la Mairie
14,Jardin Rocambole
15,Shopping Center - Rennes Alma
16,Espace des Sciences
17,Basilique Saint-Sauveur de Rennes
18,Forêt Adrénaline Rennes
19,Musée de Bretagne
20,Notre-Dame-en-Saint-Melaine
21,Couvent des Jacobins
22,Parc Hamelin Oberthür
23,Place Sainte-Anne
24,Modjo escalade
25,Portes Mordelaises
26,Parc de Saint-Jacques
27,Chapelle Saint-Yves
28,Halles Centrales
29,Mairie de Rennes
30,Piscine Saint-Georges
