Rank,Attraction
1,National Automobile Museum
2,Truckee River Walk
3,Peppermill Casino
4,Reno Air Racing Association
5,Mt. Rose Ski Resort
6,Animal Ark
7,Reno Riverwalk District
8,Nevada Museum of Art
9,The Discovery - Terry Lee Wells Nevada Discovery Museum
10,Atlantis Casino
11,Rancho San Rafael Regional Park
12,Greater Nevada Field - Reno Aces & Reno 1868 FC
13,Casino at Silver Legacy Resort
14,Casino at the Eldorado
15,Virginia Lake Park
16,Idlewild Park
17,Pioneer Center for the Performing Arts
18,Circus Circus Casino
19,Reno Arch
20,Eldorado Showroom
21,Bartley Ranch Regional Park
22,Wilbur D. May Center
23,Hunter Creek Trail
24,"University of Nevada, Reno"
25,Galena Creek Regional Park
26,Reno Rodeo Cattle Drive
27,Harrah's Reno Casino
28,Fleischmann Planetarium
29,Cinemark-Century Park Lane 16 Movie Theater
30,Sierra Safari Zoo
