Rank,Attraction
1,The Breakers
2,Roger Williams Park Zoo
3,Rhode Island School of Design Museum of Art
4,East Bay Bike Path
5,Historic Federal Hill
6,Narragansett Beach
7,Rhode Island State House
8,Cliff Walk
9,Water Place Park
10,Brown University
11,Roger Williams Park
12,Providence Performing Arts Center
13,Benefit Street
14,Trustom Pond National Wildlife Refuge
15,Block Island Ferry
16,Abrams Animal Farm
17,The Stephen Hopkins House
18,Providence Children's Museum
19,Ocean Drive
20,Rocky Point State Park
21,Goddard State Park
22,Sachuest Point National Wildlife Refuge
23,Providence Train Station
24,East Beach
25,Mohegan Bluffs
26,Colt State Park
27,Napatree Point
28,Washington Secondary Bike Path
29,Misquamicut State Beach
30,DePasquale Plaza
