Rank,Attraction
1,Maymont
2,Virginia Museum of Fine Arts
3,Lewis Ginter Botanical Garden
4,Virginia Capitol Building
5,Carytown
6,Hollywood Cemetery
7,White House of the Confederacy
8,Monument Avenue
9,Science Museum of Virginia
10,St. John's Episcopal Church
11,Belle Isle
12,Short Pump Mall
13,Edgar Allan Poe Museum
14,Virginia Museum of History & Culture
15,Virginia Capital Trail
16,Virginia Holocaust Museum
17,James River
18,Canal Walk
19,Agecroft Hall & Gardens
20,American Civil War Museum- Historic Tredegar
21,Maggie L. Walker National Historic Site
22,T. Tyler Potterfield Memorial Bridge
23,Richmond Raceway
24,Tredegar Iron Works
25,Altria Theater
26,The Valentine
27,Libby Hill Park
28,Fan District
29,Pony Pasture Park (James River Park System)
30,Rosie's Gaming Emporium
