Rank,Attraction
1,Old City Riga (Vecriga)
2,Riga Motormuseum
3,Central Market (Centraltirgus)
4,House of the Black Heads
5,KGB Building
6,Panorama Riga Observation Deck
7,View of Riga from St Peter's Church Tower
8,Riga Town Hall Square
9,Alberta Iela
10,Latvian Ethnographic Open Air Museum
11,Musee Art Nouveau
12,Jugenda Stila Nami
13,The Museum of the Occupation of Latvia
14,Latvian National Museum Of Art
15,Mezaparks
16,Latvian National Opera
17,Riga Ghetto and Latvian Holocaust Museum
18,Nativity of Christ Cathedral
19,National Library of Latvia
20,Vermanes Garden
21,Jauniela
22,Riga Cathedral
23,Riga Zoo
24,Freedom Monument
25,Latvian War Museum
26,Cat House
27,Zanis Lipke Memorial
28,Bremen Town Musicians
29,Art Museum RIGA BOURSE
30,Museum of Riga's History and Navigation
