Rank,Attraction
1,Site Historique Maritime De La Pointe-au-Pere
2,Parc National du Bic
3,Parc Beauséjour
4,Bureau d'Information Touristique de Rimouski
5,Sanctuaire Sainte-Anne-de-la-Pointe-au-Père
6,Coastal Trails at Rimouski River
7,Parc du Mont Saint-Louis
8,Site historique de la maison Lamontagne
9,Theatre du Bic
10,Regional Museum Rimouski
11,Cooperative de Ski de Fond Mouski
12,Le Château Blanc
13,Ferme de Professeur Tournesol
14,Cnm Evolution
15,La Société - Jeux d'évasion
16,Aventures Archipel
17,Le Bien Le Malt
18,Pointe-aux-Anglais
19,Le Club de Golf du Bic
20,Pub St-Barnabe
21,Ranch St-Fabien
22,Talo Spa
23,Cooperative d'escalade Riki Bloc
24,Club de Golf de Riviere-Hatee
25,Val Neigette
26,Orchestre Symphonique de l'Estuaire
27,Cinéma Lido
28,Club de Golf Val-Neigette de Rimouski
29,Club de Golf L'Empress
30,Route Des Monts Notre Dame
