Rank,Attraction
1,Rostock Zoo
2,Sankt Marien Kirche
3,Ostseebad Warnemünde
4,Alter Strom
5,Neuer Markt
6,Strand Warnemünde
7,Warnemunde Lighthouse
8,Marine Science Center
9,Das Kulturhistorische Museum
10,Kröpeliner Strasse
11,Brunnen der Lebensfreude
12,University of Rostock
13,IGA Park Rostock
14,Port of Rostock
15,Standehaus
16,Rathaus
17,Rostock City Wall
18,Ostseestadion
19,Tourist-Information Warnemünde
20,Warnemünde Church
21,Stasi Pre-Trial Prison
22,Icebreaker 'Stephan Jantzen'
23,Teepott
24,Die Warnemünder Molen
25,Heimatmuseum Warnemünde
26,Brunnen Warnminner Ümgang
27,Galerie Rostocker Hof
28,Schifffahrtsmuseum
29,Warnemunde Kur Park
30,Wallanlagen
