Rank,Attraction
1,Saint Basil's Cathedral
2,The State Hermitage Museum
3,Sochi Park
4,Kazan Kremlin
5,Ganina Yama Monastery
6,National park Curonian Spit
7,Red Street
8,Limpopo Zoo
9,Lighthouse Egersheld
10,Novosibirsk Zoo
11,Kul Sharif Mosque
12,Central Fountain
13,Fisht Olympic Stadium
14,H2O Aquapark
15,Yaroslavl Embankment
16,Embankment of Tura River
17,Cathedral of the Kazan Icon of the Mother of God
18,Samara Embankment
19,Safari Park
20,Church of the Savior on Spilled Blood
21,The Motherland Calls Sculpture
22,The Kremlin
23,Stolby National Park
24,State Tretyakov Gallery
25,Krasnaya Polyana Mountain Cluster
26,Southern Cultures Park
27,Salavat Yulaev Monument
28,Monument to the Kitten from Lizyukov Street
29,Pedestrian Street Kirovka
30,Kislovodsk National Park
