Rank,Attraction
1,Volzhskaya Embankment
2,"Rybinsk State History, Architecture and Art Museum Preserve"
3,Transfiguration Cathedral
4,Rybinskiy Bridge
5,Mother-Volga
6,Monument to Lev Oshanin
7,Museum Rybinskiye Ryby
8,Monument to the Burlak
9,Fire-Observation Tower
10,The Mologa Museum
11,Exhibition Complex of Soviet Era
12,Museum Exhibition Complex of Nobel Family
13,The Rybinsk Museum of Admiral Ushakov
14,Statue of Lenin
15,Monument to Fyodor Ushakov
16,Rybinsk Drama Theater
17,Statue of Plumber
18,House of Artists
19,St. Nicholas Chapel
20,Former Cathedral of Jesus Sacred Heart
21,Sport Complex Polyot
22,Museum Verkhnevolzhskie GES
23,Monument to Airplane TU-104A
24,Church of the Kazan Icon of the Mother of God
25,Mavritansk Castle
26,Monument to Ludvig Nobel
27,Mall Sennaya Square
28,Memorial Complex Fire of Glory
29,Karyakinskiy Park
30,Rybinsk Puppet Theatre
