Rank,Attraction
1,California State Railroad Museum
2,Crocker Art Museum
3,California State Capitol Museum
4,Old Sacramento
5,American River Bicycle Trail
6,Cathedral of the Blessed Sacrament
7,Sutter’s Fort State Historic Park
8,Capitol Park
9,Sacramento Zoo
10,Leland Stanford Mansion State Historic Park
11,California Automobile Museum
12,William Land Park
13,Tower Bridge
14,McKinley Park
15,Funderland Amusement Park
16,Golden 1 Center
17,American River Parkway
18,Sacramento History Museum
19,Loch Leven Lakes Trail
20,Old Sacramento Schoolhouse Museum
21,California State Indian Museum
22,Governor's Mansion
23,California Exposition & State Fair
24,The B Street Theatre
25,California Musical Theatre
26,Old City Cemetery
27,Sacramento Convention Center
28,California Museum
29,Wells Fargo Museum
30,Arden Fair
