Rank,Attraction
1,Irving Nature Park
2,Bay Ferries
3,Reversing Falls Rapids
4,Moosehead Breweries
5,Saint John City Market
6,New Brunswick Museum
7,Rockwood Park
8,Port Saint John
9,Market Square
10,Harbour Passage
11,King's Square
12,Loyalist House
13,Carleton Martello Tower
14,Queen Square Farmers Market
15,Trinity Church
16,SKYWALK Saint John
17,Cathedral of the Immaculate Conception
18,Imperial Theatre
19,Fort Howe National Historic Site of Canada
20,Saint John Jewish Historical Museum
21,Mispec Beach
22,Saint John Police Museum
23,Harbour Station Entertainment Centre of Atlantic Canada
24,Wolastoq Park
25,Saint John Visitor Information Centre
26,Dominion Park Beach
27,St. John Stone Anglican Church
28,Stonehammer UNESCO Global Geopark
29,Moosehead Small Batch
30,Fallsview Park
