Rank,Attraction
1,San Antonio River Walk
2,Natural Bridge Caverns
3,The Alamo
4,Japanese Tea Gardens
5,Mission San Jose
6,San Antonio Missions National Historical Park
7,San Antonio Botanical Garden
8,San Antonio Zoo
9,Witte Museum
10,SeaWorld
11,San Fernando De Bexar Cathedral
12,Mission Trail
13,Tower of the Americas
14,San Antonio Aquarium
15,King William Historic District
16,Historic Market Square
17,Natural Bridge Wildlife Ranch
18,San Antonio River
19,Pearl Brewery
20,The DoSeum - San Antonio's Museum for Kids
21,Mission Concepcion
22,Briscoe Western Art Museum
23,Morgan's Wonderland
24,Lackland Air Force Base
25,McNay Art Museum
26,Majestic & Empire Theatres
27,Six Flags Fiesta Texas
28,Main Plaza
29,The Buckhorn Saloon and Texas Ranger Museum
30,San Antonio Museum of Art
