Rank,Attraction
1,Original McDonald's Site and Museum
2,San Bernardino National Forest
3,Rim of the World Highway
4,Kelso Depot
5,San Manuel Stadium
6,Deep Creek Hot Springs
7,Santa Ana River Trail
8,San Bernardino History & Railroad Museum
9,Pillars Of God
10,Norton AFB Museum
11,Glen Helen Regional Park
12,Inland Empire Military Museum
13,Glen Helen Amphitheater
14,Glen Helen Raceway
15,SB Raceway Indoor Karting
16,SBD Fest
17,California Theatre of the Performing Arts
18,Black Mountain Fire Lookout
19,CSUSB Leadership Challenge Center
20,Robert and Frances Fullerton Museum of Art
21,Beyond Wonderland Southern California
22,Brew Rebellion
23,Regal San Bernardino Stadium 14 & RPX
24,Cajon Pass
25,Paragliding California
26,National Orange Show Events Center
27,Blair Park.city Of San Bernadino
28,Blair Park
29,"Calvary Chapel,san Bernadino"
30,Family Law Court
