Rank,Attraction
1,Alcatraz Island
2,Golden Gate Bridge
3,Oracle Park
4,Palace of Fine Arts Theatre
5,Golden Gate Park
6,Twin Peaks
7,Exploratorium
8,California Academy of Sciences
9,Walt Disney Family Museum
10,Lands End
11,Cable Cars
12,Ferry Building Marketplace
13,Lombard Street
14,San Francisco Museum of Modern Art (SFMOMA)
15,Coit Tower
16,San Francisco Bay
17,Legion of Honor
18,Cable Car Museum
19,Pier 39
20,San Francisco Botanical Garden
21,de Young Museum
22,Musee Mecanique
23,Japanese Tea Garden
24,Angel Island State Park
25,Presidio of San Francisco
26,Fisherman's Wharf
27,Baker Beach
28,16 Avenue Tiled Steps
29,Mission Dolores Park
30,Filbert Steps
