Rank,Attraction
1,La Concha Beach
2,Monte Urgull
3,Parte Vieja
4,Monte Igueldo
5,Peine del Viento
6,Aquarium
7,Zurriola Beach
8,San Telmo Museoa
9,Miramar Palace
10,Plaza de la Constitucion
11,Ondarreta Beach
12,Funicular Monte Igueldo
13,Buen Pastor Cathedral
14,Basílica de Santa Maria del Coro
15,Santa Clara Island
16,Paseo Nuevo
17,Eureka! Zientzia Museoa
18,La calle 31 de agosto
19,Castillo de la Mota
20,Monte Ulia
21,Iglesia de San Vicente
22,Cristina Enea parkea
23,Mercado de la Bretxa
24,Parque Atracciones Monte Igueldo
25,Aiete parkea
26,Alderdi Eder parkea
27,Ayuntamiento de San Sebastian
28,Maria Kristina Zubia
29,Tabakalera
30,Plaza de Guipuzkoa
