Rank,Attraction
1,Bowers Museum
2,Lyon Air Museum
3,Discovery Cube Orange County
4,Kellogg House
5,Santa Ana Zoo at Prentice Park
6,Main Place Mall
7,Firestorm Freerunning
8,Heritage Museum of Orange County
9,Blinking Owl Distillery
10,Fairhaven Memorial Park Mortuary
11,Network Brewery
12,Santa Ana Artist's Village
13,Orange County Museum of Art
14,Dr. Willella Howe-Waffle House
15,Kidseum
16,Santiago Park Nature
17,Attic Community Theater
18,Orange County Center for Contemporary Art
19,Cismontane Brewing Company
20,The Good Beer
21,Old Orange County Courthouse
22,The Yost
23,OC Helicopters
24,Air Combat USA
25,The Observatory
26,VLVT | Velvet Lounge
27,Sender One Climbing
28,Regency Theater South Coast Village
29,California Center For Digital Arts
30,Rockin' Jump Orange County
