Rank,Attraction
1,Levi's Stadium
2,Intel Corp and Museum
3,Mission Santa Clara de Asis
4,Santa Clara University
5,California's Great America
6,49ers Museum
7,Our Lady of Peace Church
8,Central Park
9,Central Park Library
10,Santa Clara Convention Center
11,K1 Speed Santa Clara
12,Triton Museum of Art
13,Statue of Saint Clare
14,Golden State Brewery
15,Ulistac Natural Area
16,Edward Peterman Museum of Railroad History
17,Anderson Lake County Park
18,De Saisset Museum
19,Harris-Lass Historic Museum
20,Vino Artist
21,South Bay Historical Railroad Society
22,Jamison-Brown House
23,Buck Shaw Stadium
24,Santa Clara Chamber of Commerce
25,Montague Park
26,Westfield Valley Fair Shopping Center
27,Off The Couch
28,AMC Mercardo 20
29,Beat The Lock Escape Rooms
30,Showplace ICON Theater
