Rank,Attraction
1,Chihuly Garden and Glass
2,The Museum of Flight
3,Pike Place Market
4,Washington State Ferries
5,Kerry Park
6,Sky View Observatory
7,Hiram M. Chittenden Locks
8,Woodland Park Zoo
9,T-Mobile Park
10,Space Needle
11,Smith Tower
12,Discovery Park
13,Pike Place Fish Market
14,Alki Beach
15,Gas Works Park
16,Bill & Melinda Gates Foundation Discovery Center
17,University of Washington
18,Museum of Pop Culture
19,Green Lake Park
20,Seattle Center
21,Seattle Public Library
22,Washington Park Arboretum
23,Lake Union
24,Seattle Japanese Garden
25,Seattle Great Wheel
26,CenturyLink Field
27,Bruce Lee Grave Site
28,Golden Gardens Park
29,Seattle Aquarium
30,Seattle Art Museum
