Rank,Attraction
1,Real Alcazar de Sevilla
2,Plaza de Espana
3,Catedral de Sevilla
4,Barrio Santa Cruz
5,Torre Giralda
6,Parque de Maria Luisa
7,Centro Historico de Sevilla
8,Triana
9,Iglesia Colegial del Salvador
10,Casa Palacio de Las Dueñas
11,Basilica de la Macarena
12,Museo De Bellas Artes De Sevilla
13,Estadio Ramon Sanchez-Pizjuan
14,Casa de Pilatos
15,Setas de Sevilla (Metropol Parasol)
16,Real Maestranza de Caballeria de Sevilla
17,Hospital de los Venerables
18,Jardines de los Reales Alcazares
19,Museo Palacio de la Condesa de Lebrija
20,Les Visites du Campo Bravo
21,Acuario de Sevilla
22,Palacio de los marqueses de la Algaba
23,Plaza del Triunfo
24,Iglesia de Santa Maria la Blanca
25,Centro de Interpretacion Juderia de Sevilla
26,Plaza de America
27,Iglesia de San Luis de los Franceses
28,Archivo General de Indias
29,Parque Amate
30,Mercado de Triana
