Rank,Attraction
1,Parc national de la Mauricie
2,La Cité de l'énergie
3,D'Arbre en Arbre
4,Observation de l'Ours Noir
5,Vallée Rocanigan
6,Museum of Prime Minister Jean Chrétien
7,Ranch Dupont
8,Marché Public Shawinigan
9,Parc de l'ïle Melville
10,Tourisme Mauricie
11,Parc des Vétérans
12,Église Notre-Dame-de-la-Présentation
13,Belvédère Lambert
14,Chutes de Shawinigan
15,Bel-Air Aviation
16,Thierry Rimbault Guide de Peche
17,Location Motoneige Maximum Aventure
18,Vallee-du-Parc
19,Station Plein Air Val-Mauricie
20,Club de Golf Grand-Mère
21,Marche aux puces de la Mauricie
22,Club de Golf Le Memorial
23,Boutique cadeaux chez Guy
24,Art et Culture Bonsai
25,Mini Putt
26,Bar Cafe Le Texas Cactus
27,Pub Chez Rosaire
28,Bar Le Picasso
29,Zen Beaute Spa Urbain
30,Bar Le Merlin
