Rank,Attraction
1,Lac des Nations
2,La Halte des Pèlerins
3,Sanctuaire De Beauvoir
4,Sherbrooke's Murals on BaladoDiscovery
5,Promenade de la Gorge de la Rivière Magog
6,Parc du Mont-Bellevue
7,Musee de la nature et des sciences
8,Uplands Cultural & Heritage Centre
9,Domaine-Howard Park
10,Magog River Gorge
11,Parc du Bois-Beckett
12,Place Nikitotek
13,Parc De La Plage-municipale De Deauville
14,Balade à Travers le Temps au Centre-Ville
15,Theatre Granada
16,Centre de Foires de Sherbrooke
17,Sherbrooke City Hall
18,Sherbrooke Museum of Fine Arts
19,Centre Marie-Léonie Paradis
20,Galerie d'art du Centre culturel de l'Universite de Sherbrooke
21,Artsversus Art Gallery
22,Marais Réal-D.-Carbonneau
23,Historical Interpretation Center of Sherbrooke
24,Old North Neighborhood
25,Maison des Arts Et de la Culture de Brompton
26,Le Refuge de Buzz
