Rank,Attraction
1,Lake Matka
2,"Old Bazaar, Skopje"
3,Mountain of Vodno
4,Macedonia Square
5,Millennium Cross
6,The Stone Bridge
7,Memorial House of Mother Teresa
8,Skopje Fortress Kale
9,Matka Canyon
10,Holocaust Memorial Centre
11,Archaeological Museum of Macedonia
12,Warrior on a Horse
13,Church of St. Panteleimon
14,Mustafa Pasha Mosque
15,Museum of Macedonian Struggle
16,Fountain of the Mothers of Macedonia
17,Daut  Pasha Hamam
18,Skopje Art Bridge
19,Museum of Illusions
20,Brzanov Winery
21,Skopje City Mall
22,Church of St. Clement of Ohrid
23,Skopje ZOO
24,Phillip II of Macedon
25,Holy Savior Church
26,Macedonian Opera and Ballet
27,Kapan Han
28,Skopje Eye Bridge
29,Porta Macedonia aka Gate Macedonia
30,Stobi
