Rank,Attraction
1,Black Park
2,Langley Country Park
3,Absolutely Ice - Slough Ice Arena
4,Kedermister Library
5,The Curve
6,Slough Railway Station
7,Queensmere Observatory Shopping Centre
8,Silver Blades
9,Bust Out 360
10,Lumle Holidays - Day Tours
11,Go Ape Black Park
12,Motion Simulation Room
13,Go Jump In
14,Imagine Spa
15,Jump Giants
16,Delta Force West London Paintball
17,Bar Polski OAZA
18,Slough Scuba Store
19,Cippenham British Legion
20,Salt Hill Activity Centre
21,Synegry Gym
22,F1K Indoor Karting Ltd
23,Angel Spa
24,Empire Cinemas
25,Travelopedia Ltd.
26,Go Arrow Tag
27,Warren Harris
28,Primark
29,happy tours
30,Church Wood
