Rank,Attraction
1,Ljubljana Old Town
2,Lake Bled
3,Julian Alps
4,Postojna Cave
5,Old Vine House
6,Fonda Fish Farm
7,Soca Valley
8,Praetorian Palace
9,Triglav National Park
10,Mariborsko Pohorje Ski Resort
11,Vrsic Pass - Julian Alps
12,Lake Bohinj
13,Predjama Castle
14,Lake Jasna
15,Piran Town Walls
16,Koper Cathedral and Bell Tower
17,Parenzana
18,Piramida (Pyramid Hill)
19,Portoroz Beach
20,Tartini Square (Tartinijev trg)
21,Olimje Castle
22,Kozjak Waterfalls
23,Grand Casino Portorož
24,Bled Island
25,Planet Koper
26,Vinag Wine Cellar
27,Piazza Tito
28,Tolmin Gorge
29,Bled Castle (Blejski Grad)
30,Casino Perla
