Rank,Attraction
1,Sochi Park
2,Fisht Olympic Stadium
3,Krasnaya Polyana Mountain Cluster
4,Southern Cultures Park
5,Rosa Khutor Ski Resort
6,Lazarevsky Recreation Park
7,Arboretum Park
8,Olimpiyskiy Park
9,Iceberg Skating Palace
10,Husky Park
11,Ice Dome Bolshoi
12,The Singing Fountains
13,Electrical Museum of Nikola Tesla
14,Velvet Theater
15,The Observation Tower on Akhun Mountain
16,Imeretinskaya Embankment
17,Sochi Auto Sport Museum
18,Svirsk Gorge
19,Ferris Wheel
20,Mamedovo Canyon
21,Riviera Dolphinarium
22,Khostinsky Tisosamshitovaya Grove
23,Gazprom Mountain-Tourist Centre
24,Adler Market
25,Back in USSR Museum
26,Stalin's Summer Residence
27,Morskaya Zvezda Dolphinarium
28,Monument to the Characters of Movie Brilliantovaya Ruka
29,Dagomysskiye Koryta
30,The Singing Fountains
