Rank,Attraction
1,St. Alexander Nevski Cathedral
2,Vitosha Mountain
3,Saint Nikolas Russian Church (Tsurkva Sveta Nikolai)
4,Vitosha Boulevard
5,Boyana Church
6,Catedral de Sveta-Nedelya
7,Boyana Waterfall
8,Saint Sofia Church
9,National Museum of Military History
10,Ivan Vazov National Theater
11,National Institute of Archaeology with Museum
12,Borisova Gradina
13,The Rotunda Church of St George
14,National Museum of History
15,National Palace of Culture Congress Centre
16,Muzeiko
17,South Park
18,The Red Flat
19,The Mall
20,Central Sofia Synagogue (Tsentralna Sofiiska Sinagoga)
21,Seven Rila Lakes
22,Dragalevtsi Monastery
23,Amphitheatre of Serdica
24,Sofia History Museum
25,Museum of Socialist Art
26,Kvadrat 500
27,Banya Bashi Mosque
28,"National Museum of Natural History, Sofia"
29,Sveti Sedmochislenitsi Church
30,Central Market Hall (Tsentralni Hali)
