Rank,Attraction
1,Bear Country USA
2,Needles Highway
3,Reptile Gardens
4,Falls Park
5,Custer State Park
6,Adams House
7,Mount Rushmore National Memorial
8,Wildlife Loop Road
9,Mount Moriah Cemetery
10,Black Elk Peak
11,Loop Road
12,Iron Mountain Road
13,Historic Old Town
14,Mammoth Site of Hot Springs
15,Adams Museum
16,Sylvan Lake
17,Storybook Island
18,Sturgis Motorcycle Rally
19,Badlands National Park
20,Tatanka: Story of the Bison
21,SculptureWalk & Arc of Dreams Monument
22,Broken Boot Gold Mine
23,South Dakota Air and Space Museum
24,The Museum @ Black Hills Institute
25,Rushmore Tramway Adventures
26,Sturgis Motorcycle Museum & Hall of Fame
27,Days of '76 Museum
28,Spearfish Canyon
29,Downtown Rapid City
30,Needles Eye
