Rank,Attraction
1,Manito Park
2,Spokane Falls
3,Riverfront Park
4,Centennial Trail
5,Green Bluff
6,Gonzaga University
7,Martin Woldson Theater at the Fox
8,Downtown Spokane
9,Riverside State Park - Bowl and Pitcher
10,Nishinomiya Tsutakawa Japanese Garden
11,Avista Stadium
12,Mount Spokane
13,Campbell House
14,Steam Plant Square
15,SkyRide
16,St. John's Cathedral
17,Gaiser Conservatory
18,Northwest Museum of Arts & Culture
19,Mobius Discovery Center
20,Barrister Winery
21,John A. Finch Arboretum
22,South Hill
23,Spokane Valley Mall
24,Blue Zoo
25,St. Aloysius Church
26,Cathedral of Our Lady of Lourdes
27,Spokane Convention Center
28,Crosby House
29,Monroe Street Bridge
30,Bing Crosby Theater
