Rank,Attraction
1,Vasa Museum
2,Stockholm Old Town
3,Stockholm City Hall
4,ABBA The Museum
5,Kungliga Djurgården
6,Fotografiska Stockholm
7,Skansen
8,Royal Palace
9,Monteliusvagen
10,Nationalmuseum
11,Medeltidsmuseet
12,Sodermalm
13,Storkyrkan
14,Stortorget
15,The Swedish History Museum
16,Hallwyl Museum (Hallwylska Museet)
17,Junibacken
18,Stockholm Canals
19,Prins Eugens Waldemarsudde
20,Army Museum
21,Strandvagen
22,Moderna Museet - Stockholm
23,Skogskyrkogården
24,Stockholms Stadsbibliotek
25,Swedish Museum of Natural History
26,The Royal Swedish Opera
27,Rosendals Garden
28,Lake Malaren
29,Royal Armory
30,Östermalm Saluhall
