Rank,Attraction
1,Science North
2,Big Nickel & Dynamic Earth
3,Bell Park Walkway / Boardwalk
4,Kivi Park
5,Lake Laurentian Conservation Area
6,Grotto of Our Lady of Lourdes
7,Fielding Memorial Park
8,Vermilion Lake
9,Onaping Falls
10,Bell Park
11,Halfway Lake Provincial Park
12,Bay Used Books
13,Fairbank Provincial Park
14,Northern Exotics
15,Stack Brewing
16,Moonlight Beach
17,Anderson Farm Museum
18,Sudbury Theatre Centre
19,Fielding Bird Sanctuary
20,Northern Ontario Railroad Museum & Heritage Centre
21,Inco Superstack
22,Kalmo Park Conservation Area
23,Rotary Park Lookout
24,Sudbury Community Arena
25,Hillfield Trail
26,Wanapitei Provincial Park
27,Art Gallery of Sudbury
28,Crosscut Distillery
29,Windy Lake Provincial Park
30,Wagonwheel Ranch
