Rank,Attraction
1,Gower Peninsula
2,Three Cliffs Bay
3,Oxwich Bay
4,Mumbles Hill Local Nature Reserve
5,Mumbles Pier
6,Caswell Bay
7,Llangennith Beach
8,Penllergare Valley Woods
9,Clyne Gardens
10,Langland Bay
11,Our Lady Star of the Sea
12,Gower Heritage Centre
13,National Waterfront Museum
14,The LC
15,Swansea Market
16,Oystermouth Castle
17,Bracelet Bay
18,Swansea Beach
19,Swansea Marina
20,Plantasia
21,Singleton Park
22,Egypt Centre
23,Lliw Reservoir
24,Dylan Thomas Birthplace
25,Weobley Castle
26,Swansea Museum
27,Treasure Mumbles
28,Cwmdonkin Park
29,Pennard Castle
30,BRD Gravity Centre (Board Riding Development Mountain Boarding Centre)
