Rank,Attraction
1,Vasa Museum
2,Southern Goteborg Archipelago
3,Oresund Bridge
4,Göta Canal
5,Liseberg amusement park
6,Botanical Garden
7,Soderasens National Park
8,Sofiero Palace
9,Tropikariet
10,Stockholm Old Town
11,Uppsala Domkyrka
12,Kiruna Kyrka
13,LKAB's Visitor Centre
14,Volvo Museum
15,Lund Cathedral
16,Anundshog
17,Haga
18,Little Square
19,Slottsskogen
20,Visby City Wall
21,Fyren Långe Jan
22,Tylösand Strand
23,Stora Karlso
24,Universeum
25,Skåneleden
26,Wadköping Open Air Museum
27,Aeroseum
28,Horticultural Gardens (Tradgardsforeningen)
29,Sandgrund Lars Lerin
30,Isbanan
