Rank,Attraction
1,Old Town
2,Lake Zurich
3,Lake Geneva
4,Lake Lucerne
5,Fine Arts Museum Basel - Kunstmuseum
6,The Matterhorn
7,Harder Kulm
8,The Olympic Museum Lausanne (Musee Olympique)
9,Lake Lugano
10,Old City
11,Freddie Mercury Statue
12,Grindelwald-First
13,Queen Studio Experience
14,Basel's Old Town
15,Bernina Express
16,Basel Minster
17,Zoo Basel
18,Rheinfähre
19,Mt. Rigi
20,Trummelbach Falls
21,Basel Paper Mill Museum
22,Jungfraujoch
23,Galleria Baumgartner
24,Diavolezza
25,Stiftsbibliothek
26,Mount Titlis
27,Lake St. Moritz
28,Muottas Muragl
29,Falconeria Locarno
30,Piz Nair
