Rank,Attraction
1,St. Marks National Wildlife Refuge
2,Tallahassee Antique Car Museum
3,Florida State University
4,Tallahassee Museum
5,Alfred B. Maclay Gardens State Park
6,Mission San Luis de Apalachee
7,Museum of Florida History
8,Cascades Park
9,St. Marks Lighthouse
10,Florida Historic Capitol Museum
11,Goodwood Museum and Gardens
12,Railroad Square Art District
13,Dorothy B Oven Park
14,Saint Marks Trail
15,Lake Ella & Fred Drake Park
16,Doak Campbell Stadium
17,New Capitol Building
18,JR Alford Greenway
19,Tom Brown Park
20,Miccosukee Canopy Road Greenway
21,Grove Museum
22,Lake Jackson Mounds Archaeological State Park
23,Proof Brewing Company
24,Apalachicola National Forest
25,Challenger Learning Center of Tallahassee
26,Redemptive Love Farm
27,Natural Bridge Battlefield Historic State Park
28,Tallahassee-St. Marks Historic Railroad State Trail
29,Governor's Square mall
30,Lichgate on High Road
