Rank,Attraction
1,Tallinn Old Town
2,Lennusadam Seaplane Harbour
3,Toompea Hill
4,Aleksander Nevski Katedraali
5,Kadriorg Park
6,Tallinna Raekoja Plats
7,Eesti Vabaõhumuuseum
8,Tallinna Teletorn
9,Kumu Art Museum
10,St. Olaf’s Church
11,Telliskivi Loomelinnak
12,Tallinna Raekoda
13,St. Catherine's Passage
14,Viewing Point Kohtuotsa
15,Tallinn Town Wall
16,Balti Jaam Market
17,Kadriorg Palace
18,Kiek in de Kok and Bastion Passages Museum
19,Rotermann Quarter
20,Vabamu Museum Of Occupations & Freedom
21,Viru Gates
22,Pirita
23,Patkuli Viewing Platform
24,Peapiiskopi Kirik
25,Estonian Health Museum
26,KGB Museum
27,Estonian National Opera
28,Tallinn Museum of Orders of Knighthood
29,Niguliste Museum
30,Danish King's Garden
