Rank,Attraction
1,Sunshine Skyway Bridge
2,Big Cat Rescue
3,Tampa Riverwalk
4,ZooTampa at Lowry Park
5,The Florida Aquarium
6,Busch Gardens
7,Lettuce Lake Regional Park
8,Ybor City
9,Bayshore Boulevard
10,Amalie Arena
11,TECO Line Streetcar System
12,Glazer Children's Museum
13,Henry B. Plant Museum
14,Yuengling Brewery
15,Tampa Bay History Center
16,Raymond James Stadium
17,George M. Steinbrenner Field
18,Seminole Hard Rock Casino Tampa
19,International Plaza and Bay Street
20,Adventure Island
21,Courtney Campbell Trail
22,Cigar City Brewing
23,Tampa Bay Downs
24,Tampa Theatre
25,Curtis Hixon Waterfront Park
26,Museum of Science and Industry
27,SS American Victory Mariners' Memorial and Museum Ship
28,Croc Encounters
29,Sacred Heart Catholic Church
30,Wat Mongkolrata Temple
