Rank,Attraction
1,Mill Avenue District
2,Tempe Town Lake
3,Arizona State University
4,SEA LIFE Arizona Aquarium
5,Tempe Marketplace
6,Arizona Mills
7,Kiwanis Park
8,Hayden Butte Preserve
9,Papago Park
10,Tempe Diablo Stadium
11,C2 Tactical
12,Big Surf Waterpark
13,Tempe Center for the Arts
14,ASU Gammage Auditorium
15,AZ Heritage Center at Papago Park
16,Sun Devil Stadium
17,Adventurous Stills
18,Arizona Distilling Co
19,Tempe History Museum
20,Arizona State University Art Museum
21,Kiwanis Recreation Center
22,Desert Arboretum Park
23,Arizona State University Wells Fargo Arena
24,ASU Museum Ceramics Center and Brickyard Gallery
25,Phoenix Rock Gym
26,Sri Venkata Krishna Kshetra Temple
27,Coyotes Curling Club
28,Petersen House Museum
29,CaskWerks Distilling Co.
30,Tempe Tourism Office
