Rank,Attraction
1,Arizona-Sonora Desert Museum
2,Mt. Lemmon Scenic Byway
3,Sabino Canyon
4,Pima Air and Space Museum
5,Saguaro National Park
6,Mission San Xavier del Bac
7,Gates Pass
8,Madera Canyon
9,Catalina State Park
10,Tohono Chul
11,Tucson Botanical Gardens
12,The Gaslight Theatre
13,DeGrazia Gallery in the Sun Museum
14,Cactus Forest Drive
15,Reid Park Zoo
16,Old Tucson
17,The Mini Time Machine Museum of Miniatures
18,Tucson Mountain Park
19,University of Arizona
20,Tumamoc Hill
21,Davis-Monthan Air Force Base
22,Franklin Auto Museum
23,Rincon Mountain Visitor Center
24,Funny Foot Farm and Tucson Petting Zoo
25,A Mountain (Sentinel Peak)
26,Trail Dust Town
27,Agua Caliente Park
28,Children's Museum Tucson
29,Tucson Museum of Art and Historic Block
30,Ventana Canyon Hiking Trail
