Rank,Attraction
1,Tula State Museum of Weapons
2,Tula Kremlin Museum
3,P. Belousov Central Park of Culture and Recreation
4,Machine Tool Museum
5,Old Tula Drug Store
6,Monument to Tula Gingerbread
7,Bronepoyezd 13 Tulskiy Rabochiy
8,Tulskaya Embankment
9,Memorial Complex to Defenders of Motherland Sky
10,Tula Exotarium
11,Holy Assumption Cathedral
12,Kozlova Zaseka Station Museum
13,Hedgehog At Mushroom Glade
14,Museum Garmoni Deda Filimona
15,Tula Museum of Samovars
16,Iskra
17,Historical Center of the City Tula
18,Tula Museum of Fine Arts
19,Museum Moto Auto ART
20,Monument to Mother-in-Law
21,Sculpture Levsha Podkovavshiy Blokhu
22,Tula Antiquities Museum and Exhibition Center
23,Museum of International Gingerbread
24,Gingerbread Museum
25,Sculpture Tula Tea-Drinking
26,Tula Local History
27,Church of the Annunciation of the Blessed Virgin
28,All Saints Cathedral
29,Monument to the Holy Blessed Peter and Fevronia
30,Monument to Lefthanded Person
