Rank,Attraction
1,Gathering Place
2,Philbrook Museum of Art
3,Gilcrease Museum
4,The Cave House
5,BOK Center
6,Tulsa Zoo
7,Woodward Park
8,Woody Guthrie Center
9,Center of the Universe
10,ONEOK Field
11,River Parks
12,Tulsa Botanic Garden
13,River Spirit Casino Resort
14,The Golden Driller
15,Turkey Mountain Urban Wilderness Area
16,Tulsa Air and Space Museum & Planetarium
17,Tulsa Performing Arts Center
18,Blue Dome District
19,Oral Roberts University
20,Vintage Sewing Center And Museum
21,Discovery Lab -Tulsa Children's Museum
22,Brady Theater
23,Linnaeus Teaching Gardens
24,LaFortune Park
25,Osage Casino
26,The Sherwin Miller Museum of Jewish Art
27,Mary K. Oxley Nature Center
28,The Boxyard
29,Boston Avenue Methodist Church
30,Hardesty Arts Center (AHHA Tulsa)
