Rank,Attraction
1,Museo Egizio
2,Juventus Stadium
3,Museo Nazionale del Cinema
4,Museo Nazionale dell'Automobile
5,Palazzo Reale
6,Mole Antonelliana
7,Piazza Castello
8,Parco del Valentino
9,Piazza San Carlo
10,Museo Pietro Micca
11,Chiesa di Santa Maria del Monte dei Cappuccini
12,Santuario Basilica La Consolata
13,Duomo di Torino e Cappella della Sacra Sindone
14,Piazza Vittorio Veneto
15,Museo Nazionale del Risorgimento
16,Museo Lavazza
17,Palazzo Madama
18,MAO - Museo d'Arte Orientale
19,Armeria Reale
20,Mercato Centrale Torino
21,Real Chiesa di San Lorenzo
22,Juventus Museum
23,Via Roma
24,Centro Storico Fiat
25,Metropolitana di Torino
26,Museo del Carcere Le Nuove
27,Villa della Regina
28,Civic Museum of Ancient Art (Palazzo Madama)
29,Basilica di Maria Ausiliatrice
30,Superga - Tranvia a Dentiera Sassi
