Rank,Attraction
1,Canals area
2,Railway Museum (Het Spoorwegmuseum)
3,Museum Speelklok
4,Dom Tower
5,Botanic Gardens
6,Nijntje Museum
7,Rietveld Schroder House
8,Station Utrecht Centraal
9,DOMunder
10,"Bloemenmarkt, Janskerkhof, Utrecht"
11,Museum Catharijneconvent
12,Centraal Museum
13,Wilhelminapark
14,Beatrix Theater
15,Pandhof Domkerk
16,Miffy's Traffic Light
17,St. Martin's Cathedral Domkerk
18,Tourist Information Utrecht
19,Universiteitsmuseum Utrecht
20,Jaarbeurs
21,Nederlands Volksbuurtmuseum
22,Houtzaagmolen De Ster
23,Griftpark
24,Sint Willibrordkerk
25,Miffy
26,Anne Frank standbeeld (statue)
27,Trajectum Lumen
28,"De Lapjesmarkt, Breedstraat, Utrecht"
29,Neude
30,Holland Casino Utrecht
