Rank,Attraction
1,Museo Nacional de Escultura
2,Campo Grande
3,Belen Napolitano del Museo Nacional de Escultura
4,Plaza Mayor de Valladolid
5,Iglesia de San Pablo
6,Universidad de Valladolid (UVA)
7,Church of Saint Mary the Ancient
8,Palacio de Santa Cruz
9,Academia de Caballeria
10,Museo Oriental
11,Pasaje Gutiérrez
12,Mercado Del Val
13,Casa de Cervantes
14,Catedral de Valladolid
15,Iglesia De Santa María
16,Estacion de tren del Campo Grande de Valladolid
17,Museo de la Ciencia de Valladolid
18,Museo Patio Herreriano de Arte Contemporaneo Espanol
19,Museo Zorrilla
20,Palacio Real
21,Plaza Viejo Coso
22,Palacio de Pimentel
23,Colegio de San Gregorio
24,Columbus Monument
25,Iglesia de San Benito El Real
26,Casa - Museo de Colón
27,Ruta del Hereje
28,Iglesia de la Cofradia Virgen de las Angustias y Cristo de la Columna
29,Casino Roxy
30,Estadio Jose Zorrilla
