Rank,Attraction
1,Davison Orchards Country Village
2,Planet Bee Honey Farm & Meadery
3,Historic O'Keefe Ranch
4,Kalamalka Lake Provincial Park
5,Okanagan Rail Trail
6,Okanagan Spirits Craft Distillery
7,Ellison Provincial Park
8,Polson Park
9,Kal Beach
10,BX Falls
11,Splashdown Vernon (formerly Atlantis Waterslides)
12,Kalamalka Lake Lookout
13,Silver Star Provincial Park
14,Kekuli Bay Provincial Park
15,The BX Press
16,Allan Brooks Nature Centre
17,Okanagan Science Centre
18,Lake City Casino
19,Kin Beach
20,Greater Vernon Museum & Archives
21,Sovereign Lake Nordic Club
22,Paddlewheel Park
23,Marten Brewpub & Grill
24,Klinker Opal Property
25,Vernon Cadet Camp Museum
26,Vernon Visitor Centre
27,Headbones Gallery
28,Vernon & District Performing Arts Centre
29,Vernon Public Art Gallery
30,Lakeview Park
