Rank,Attraction
1,Arena di Verona
2,Piazza delle Erbe
3,Centro Storico
4,Piazzale Castel San Pietro
5,Piazza Brà
6,Basilica di San Zeno Maggiore
7,Ponte Scaligero (Ponte di Castelvecchio)
8,Museo di Castelvecchio
9,Giardino Giusti
10,Parco delle Cascate
11,Basilica di Santa Anastasia
12,Torre dei Lamberti
13,Verona's Cathedral (Duomo)
14,Ponte Pietra
15,Teatro Romano
16,Piazza dei Signori
17,Funicolare di Castel San Pietro
18,Chiesa di San Fermo
19,Via Mazzini
20,Santuario Madonna di Lourdes
21,Arche Scaligere
22,Casa di Giulietta
23,Villa Mosconi Bertani
24,chiesa di San Lorenzo - Verona
25,Centro Commerciale Adigeo
26,I Portoni della Bra
27,Porta Borsari
28,Museo Civico di Storia Naturale
29,Palazzo della Ragione
30,Museo Archeologico al Teatro Romano
