Rank,Attraction
1,Royal BC Museum
2,Beacon Hill Park
3,Inner Harbour
4,Craigdarroch Castle
5,Legislative Assembly of British Columbia
6,Fisherman's Wharf
7,Scenic Marine Route
8,Miniature World
9,Ogden Point Terminal & Breakwater
10,Abkhazi Garden
11,Black Ball Ferry Line
12,Victoria Bug Zoo
13,Government Street
14,Government House
15,Empress Hotel National Historic Site of Canada
16,Chinatown
17,Fan Tan Alley
18,Victoria Pier
19,The Bateman Gallery
20,Christ Church Cathedral
21,Clover Point Park
22,Oak Bay Marina
23,Beacon Hill Children's Farm
24,Carr House
25,Mount Tolmie Park
26,Bastion Square
27,Westsong Walkway
28,Thunderbird Park
29,Phillips Brewing Company
30,Royal Theatre
