Rank,Attraction
1,Fiagdon Monastery
2,Tsey Alpine Resort
3,Prospekt Mira
4,Mukhtarov Mosque (Sunnitskaya)
5,Gazdanovy Brothers Monument
6,Glory Monument
7,Petr Barbashov Statue
8,Kosta Khetagurov Park
9,Arkhonskiy Mountain Pass
10,Central Market
11,St. George's Cathedral
12,Academic Russian Theatre Vakhtangov
13,Shopping Center Stolitsa
14,North Osetia Republican  Art Museum (N.A. Tuganov)
15,"North Osetia State Joint Museum of History, Architecture and Literature"
16,Statue of Pushkin
17,Church of St. Gregory the Illuminator
18,Monument to Genral Pliyev
19,Church of the Prophet Elijah
20,Vladikavkaz Zoo
21,Monument V.I.Lenin
22,Republican Spartak Stadium
23,Church of the Nativity of the Blessed Virgin
24,North Osetia Museum of Modern History and Culture
25,Shia Mosque
26,North Osetia State Musical Theater
27,General Pliev House Museum
28,North Osetia State Thapsaev Academic Drama Theater
29,"National Centre for Contemporary Arts, North Caucasus"
30,Monument Tank T-34
