Rank,Attraction
1,Lighthouse Egersheld
2,Russian Island
3,Primorskiy Oceanarium
4,Russky Bridge
5,Eagle's Nest Mount
6,Golden Bridge
7,Primorsky Stage of Mariinsky Theatre
8,Railroad Terminal
9,S-56 Submarine Museum
10,Svetlanskaya Street
11,Funicular in Vladivostok
12,Voroshilovskaya Batareya Museum
13,Golden Horn Bay
14,Cape Tobizina
15,Tsesarevich Embankment
16,Sadgorod Zoo
17,Nikolai's Triumphal Arch/ Arch of Prince Nicholas
18,Vladivostok Fortress
19,Central Square
20,Millionka
21,Primorye State Art Gallery
22,The Automotive Antiques Museum
23,Kalina Mall
24,Botanical Garden-Institute
25,Steklyannaya Bay
26,Marine Passenger Terminal
27,Cathedral of the Intercession
28,Astafyev's Bay
29,Museum of the History of the Far East named after V. K. Arsenyev
30,State Marine Conservation Area
