Rank,Attraction
1,Smithsonian National Museum of Natural History
2,National Museum of African American History and Culture
3,U.S. Capitol
4,Lincoln Memorial
5,National Gallery of Art
6,United States Holocaust Memorial Museum
7,Library of Congress
8,National Air and Space Museum
9,Vietnam Veterans Memorial
10,National Mall
11,Korean War Veterans Memorial
12,National Portrait Gallery
13,Museum of the Bible
14,Washington Monument
15,Georgetown
16,Ford's Theatre
17,National World War II Memorial
18,The National Archives Museum
19,Washington National Cathedral
20,Capitol Hill
21,United States Botanic Garden
22,Jefferson Memorial
23,Tidal Basin
24,"Hillwood Estate, Museum & Gardens"
25,Basilica of the National Shrine of the Immaculate Conception
26,"Martin Luther King, Jr. Memorial"
27,White House
28,Smithsonian American Art Museum
29,National Museum of American History
30,National Zoological Park
