Rank,Attraction
1,Chihuly Garden and Glass
2,Manito Park
3,Mount St. Helens
4,Hurricane Ridge
5,Point Defiance Park
6,Whatcom Falls Park
7,Leavenworth Reindeer Farm
8,Nisqually National Wildlife Refuge
9,Bloedel Reserve
10,Ruby Beach
11,Mount Rainier
12,The Museum of Flight
13,Bellevue Botanical Garden
14,Chihuly Bridge of Glass
15,LeMay - America's Car Museum
16,Flying Heritage & Combat Armor Museum
17,Snoqualmie Falls
18,Spokane Falls
19,Washington State Capitol
20,Marymere Falls
21,Fairhaven Historic District
22,Pioneer Park
23,Washington Park
24,North Jetty
25,North Cascades Highway
26,Fort Worden State Park
27,Whidbey Island Vineyards and Winery
28,Mountain Springs Lodge Sleigh Rides
29,Marymoor Park
30,Lake Chelan
