Rank,Attraction
1,Sedgwick County Zoo
2,Botanica: The Wichita Gardens
3,The Keeper of the Plains
4,Old Cowtown Museum
5,Exploration Place
6,Museum of World Treasures
7,Frank Lloyd Wright's Allen House
8,Great Plains Nature Center
9,Wichita Art Museum
10,Old Town
11,Kansas Aviation Museum
12,Arkansas River Trail
13,Pizza Hut Museum
14,Central Standard Brewing
15,Veterans' Memorial Park
16,Wichita Sedgwick County Historical Museum
17,Mid-America All-Indian Center
18,Sedgwick Park
19,Great Plains Transportation Museum
20,Intrust Bank Arena
21,Music Theatre Wichita
22,Douglas Avenue
23,Coleman Museum and Factory Outlet
24,Cathedral of the Immaculate Conception
25,Wichita Toy Train Museum
26,Hopping Gnome Brewery
27,Prairie Sunset Trail
28,Paramount Antique Mall
29,Kansas Firefighters Museum
30,Century II Performing Arts & Convention Center
